City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
City of San Pedro,20,PH,1581476118,54,14.35,121.02,86.0,14.99
Nalut,15,LY,1581476118,29,30.33,10.85,47.77,2.75
Aitape,100,PG,1581476118,74,-3.14,142.35,82.35,10.54
Upata,0,VE,1581476118,79,8.01,-62.4,71.08,5.46
Alakurtti,100,RU,1581476119,91,66.97,30.35,28.0,4.0
Malatya,90,TR,1581476119,73,38.5,38.0,24.8,0.72
Ballina,100,AU,1581476119,100,-28.87,153.57,75.2,6.93
Yambio,100,SS,1581476119,24,4.57,28.4,61.5,5.28
Coffs Harbour,75,AU,1581476119,94,-30.3,153.13,78.8,8.05
Hvide Sande,100,DK,1581476119,75,56.0,8.13,41.0,18.34
Sidi Ben Nour,0,TN,1581476120,76,35.53,10.92,59.0,8.57
Kibala,34,TD,1581476180,24,9.11,18.35,71.6,4.5
Itarema,100,BR,1581476180,94,-2.92,-39.92,75.04,2.24
Clonakilty,20,IE,1581476180,65,51.62,-8.87,34.0,8.05
Bonavista,100,CA,1581476180,88,48.65,-53.11,28.0,4.0
Srednekolymsk,11,RU,1581476180,46,67.45,153.68,-16.98,1.14
Yangi Marg`ilon,90,UZ,1581476181,93,40.43,71.72,41.0,2.24
Puerto El Triunfo,20,SV,1581476181,78,13.28,-88.55,82.4,2.24
Razole,63,IN,1581476181,65,16.48,81.83,78.15,5.64
Amga,100,RU,1581476181,94,60.9,131.96,-0.85,1.14
Lively,90,CA,1581476181,85,46.43,-81.15,24.8,11.41
Mashhad,40,IR,1581476001,74,36.3,59.61,30.2,11.41
Sechura,0,PE,1581476182,86,-5.56,-80.82,73.98,11.07
Muroto,90,JP,1581476182,58,33.28,134.15,57.2,5.82
Orlik,84,RU,1581476182,94,52.52,99.83,-6.27,0.69
Pauini,100,BR,1581476182,94,-7.71,-66.98,73.81,1.43
Shingu,75,JP,1581476182,62,33.73,135.98,55.4,10.29
Rio Cuarto,40,AR,1581476182,72,-33.13,-64.35,68.0,14.99
Gorodovikovsk,100,RU,1581476183,82,46.09,41.93,26.53,15.82
Xichang,0,CN,1581476183,26,27.9,102.26,68.0,6.26
Barra dos Coqueiros,20,BR,1581476183,69,-10.91,-37.04,82.4,12.75
Safi,0,MA,1581476183,75,32.3,-9.24,51.12,1.43
Zdvinsk,0,RU,1581476183,87,54.7,78.66,-1.32,11.68
Chunskiy,100,RU,1581476183,90,56.08,99.63,9.99,8.39
Leshukonskoye,100,RU,1581476183,89,64.9,45.76,27.97,12.64
Leninskoye,98,RU,1581475942,91,47.94,132.62,21.56,4.54
Grand Island,1,US,1581476122,55,40.92,-98.34,35.6,12.75
Mersa Matruh,57,EG,1581476184,81,31.35,27.25,48.2,14.54
Ancud,90,CL,1581476184,100,-41.87,-73.82,60.8,11.41
Mbandaka,84,CD,1581476184,77,0.05,18.26,73.54,2.28
Sivaki,100,RU,1581476185,90,52.63,126.75,9.73,5.17
Kropotkin,99,RU,1581476185,73,45.44,40.58,30.07,5.61
Ibra,100,OM,1581476185,80,22.69,58.53,64.67,6.02
Deputatsky,100,RU,1581475955,81,69.3,139.9,-10.41,1.25
Lewiston,90,US,1581476185,100,44.1,-70.21,35.6,5.82
Itagi,96,BR,1581476185,94,-14.16,-40.01,72.7,2.35
Matagami,20,CA,1581476186,100,49.75,-77.63,6.8,4.7
West Bay,20,KY,1581476186,83,19.37,-81.42,80.6,9.17
Umea,75,SE,1581476186,100,63.83,20.26,23.0,3.36
Kunshan,75,CN,1581476186,87,31.38,120.95,71.01,6.71
Whitehorse,75,CA,1581475941,71,60.72,-135.05,8.6,3.36
Shakawe,25,BW,1581476187,94,-18.37,21.85,66.18,3.04
Bereznik,100,RU,1581476187,91,62.86,42.71,29.1,8.57
Uyuni,55,BO,1581476187,47,-20.46,-66.83,59.16,14.67
Lenger,90,KZ,1581476117,100,42.18,69.88,33.8,4.47
Aklavik,75,CA,1581476187,75,68.22,-135.01,-18.4,8.05
Vanimo,100,PG,1581476187,74,-2.67,141.3,82.35,9.19
Carbonia,40,IT,1581475949,67,39.17,8.52,57.2,11.41
Caravelas,100,BR,1581476045,86,-17.71,-39.25,80.64,14.2
Chanika,23,TZ,1581476188,97,-5.42,38.02,69.08,0.18
Nosy Varika,0,MG,1581476188,84,-20.58,48.53,71.55,7.81
Camacha,75,PT,1581476188,87,33.08,-16.33,62.6,2.24
Karratha,8,AU,1581476248,71,-20.74,116.85,80.98,10.76
Nurota,75,UZ,1581476249,100,40.56,65.69,37.4,2.24
Pailon,40,BO,1581476249,94,-17.65,-62.75,73.4,3.36
Fukuecho,75,JP,1581476249,100,32.69,128.84,59.0,19.46
Graham,90,US,1581476249,87,47.05,-122.29,46.99,4.7
Torbay,90,CA,1581475950,85,47.67,-52.73,28.0,5.82
Rach Gia,40,VN,1581476249,74,10.02,105.08,84.2,14.99
Malakal,92,SS,1581476249,13,9.53,31.66,66.16,9.06
Mayo,90,US,1581476022,69,38.89,-76.51,51.8,11.88
Chumikan,100,RU,1581476250,88,54.72,135.31,8.6,2.17
Richards Bay,95,ZA,1581476250,66,-28.78,32.04,75.51,14.25
Iqaluit,20,CA,1581476250,60,63.75,-68.51,-27.0,17.22
Ixtapa,75,MX,1581476250,73,20.7,-105.2,75.2,2.59
Progreso,5,MX,1581476250,51,21.28,-89.67,84.2,14.99
Mizdah,18,LY,1581476250,28,31.45,12.98,49.84,7.81
Emba,100,KZ,1581476251,99,48.83,58.14,7.11,2.15
Hecun,0,CN,1581476251,29,36.53,114.11,54.61,3.38
Colac,87,AU,1581476251,99,-38.33,143.58,70.0,5.99
Salekhard,0,RU,1581476251,88,66.53,66.6,12.04,9.82
Podosinovets,100,RU,1581476251,90,60.28,47.07,28.0,13.2
Severodvinsk,90,RU,1581476251,86,64.56,39.83,35.6,8.95
Karpogory,100,RU,1581476252,91,64.0,44.45,27.57,10.98
Antofagasta,20,CL,1581476212,77,-23.65,-70.4,68.0,6.93
Manuk Mangkaw,10,PH,1581476252,72,4.8,119.85,82.67,7.27
Bumba,0,CD,1581476252,49,2.18,22.47,67.19,0.54
San Jose,5,US,1581476252,23,37.34,-121.89,66.2,0.85
Saint Anthony,1,US,1581476252,79,45.02,-93.22,24.8,4.7
Grand Forks,1,US,1581476252,85,47.93,-97.03,28.4,19.46
Vaitape,21,PF,1581476253,80,-16.52,-151.75,81.55,14.18
Madarounfa,69,NE,1581476253,19,13.31,7.16,61.65,13.78
Salalah,75,OM,1581476253,69,17.02,54.09,75.2,3.36
Corn Island,31,NI,1581476253,76,12.17,-83.04,81.46,21.61
Frome,97,GB,1581476253,80,51.23,-2.32,39.99,14.99
Escanaba,1,US,1581476253,85,45.75,-87.06,23.0,12.75
Wani,0,IN,1581476253,42,20.07,78.95,70.84,4.99
Te Anau,100,NZ,1581476254,48,-45.42,167.72,66.18,7.36
Olinda,40,BR,1581476254,74,-8.01,-34.86,82.4,9.17
Vila Franca do Campo,75,PT,1581476254,82,37.72,-25.43,59.0,10.63
Huayang,0,CN,1581476254,40,34.42,109.99,53.85,2.93
Maningrida,100,AU,1581476254,70,-12.07,134.27,87.44,9.26
Helong,9,CN,1581476254,57,42.54,129.0,39.9,5.06
Benguela,32,AO,1581476254,74,-12.58,13.41,79.07,3.62
Catuday,0,PH,1581476255,66,16.29,119.81,77.14,18.77
Benidorm,90,ES,1581476255,93,38.54,-0.13,57.99,3.36
Magdagachi,100,RU,1581476255,94,53.45,125.8,8.28,3.98
Jalu,0,LY,1581476255,49,29.03,21.55,54.91,6.17
Beruwala,0,LK,1581476255,72,6.48,79.98,79.7,2.73
Jizan,40,SA,1581476255,69,17.33,42.67,75.2,3.36
El Cobre,20,CU,1581476255,78,20.05,-75.95,77.0,4.7
Ciudad Lazaro Cardenas,56,MX,1581476256,79,17.96,-102.2,72.59,0.87
Samarai,48,PG,1581476256,78,-10.62,150.67,84.67,5.61
West Wendover,1,US,1581476316,51,40.74,-114.07,35.6,4.14
Siirt,99,TR,1581476316,63,37.93,41.94,20.73,4.36
Slave Lake,90,CA,1581476316,71,55.28,-114.77,6.8,3.36
Tahe,99,CN,1581476317,86,52.33,124.73,13.32,4.32
Bay Roberts,90,CA,1581476317,85,47.6,-53.26,28.0,5.82
Nagato,75,JP,1581476317,87,34.38,131.2,51.8,21.92
Miles City,90,US,1581476317,74,46.41,-105.84,35.01,11.41
Burns Lake,97,CA,1581476317,99,54.23,-125.75,26.98,2.19
East Greenwich,90,US,1581476317,87,41.66,-71.46,42.8,5.82
Sabang,76,ID,1581476317,81,5.89,95.32,81.99,18.86
Antalaha,0,MG,1581476318,74,-14.9,50.28,77.99,11.25
Ucluelet,76,CA,1581476318,87,48.93,-125.55,45.0,1.01
Gao,100,ML,1581476318,9,16.64,1.64,71.42,14.72
Kasane,3,BW,1581476318,97,-17.82,25.15,63.75,5.61
Ratnagiri,0,IN,1581476318,54,16.98,73.3,77.18,7.56
Agua Verde,90,MX,1581476318,88,22.9,-106.05,71.01,13.87
Danielskuil,0,ZA,1581476182,59,-28.19,23.54,63.68,11.41
Margate,67,GB,1581476319,74,51.38,1.39,41.0,16.11
